obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
12.32,350.17,18.84,24.45,11.15,0.38,57.65,0.08,1.37,1,42.37,-73.21,430.25
,352.44,19.68,24.19,13.74,0.43,417.24,0.02,0.68,1,41.8,-71.12,29.72
,349.53,19.63,26.48,13.38,0.45,570,0.03,1.29,1,41.8,-71.12,29.72
,349.53,19.63,26.48,13.38,0.43,417.24,0.02,0.68,1,41.8,-71.12,29.72
,422.33,19.32,27.2,14.69,0.39,132.46,0.06,1.41,1,42.14,-72.63,196.63
,422.33,19.32,27.2,14.69,0.39,349.81,0.03,1.37,1,42.14,-72.63,196.63
,422.33,19.32,27.2,14.69,0.39,332.74,0.01,1.46,1,42.14,-72.63,196.63
,349.53,19.63,26.48,13.38,0.4,350.13,0.03,1.38,1,42.16,-71.21,57.46
,349.53,19.63,26.48,13.38,0.39,381.6,0.03,1.41,1,42.16,-71.21,57.46
,349.53,19.63,26.48,13.38,0.41,321.6,0.04,1.33,1,42.16,-71.21,57.46
17.17,356.95,19.41,26.24,12.81,0.35,51.72,0.05,1.44,1,42.35,-71.91,216.62
17.17,356.95,19.41,26.24,12.81,0.38,58.75,0.08,1.32,1,42.35,-71.91,216.62
17.17,382.27,19.41,26.24,12.81,0.35,51.72,0.05,1.44,1,42.35,-71.91,216.62
27.86,393.97,19.36,25.04,13.74,0.39,436.71,0.03,1.42,1,42.34,-72.66,226.48
27.86,393.97,19.36,25.04,13.74,0.39,368.88,0.01,1.46,1,42.34,-72.66,226.48
27.86,393.97,19.45,23.87,13.35,0.36,82.26,0.08,1.58,1,42.34,-72.66,226.48
17.36,370.87,19.41,26.24,12.81,0.35,52.32,0.06,1.41,1,42.67,-70.96,26.07
17.36,326.64,19.41,26.24,12.81,0.37,42.76,0.1,1.41,1,42.67,-70.96,26.07
17.36,334.92,19.41,26.24,12.81,0.38,57.49,0.09,1.36,1,42.67,-70.96,26.07
10.11,356.95,19.51,26.71,13.39,0.38,102.2,0.06,1.48,1,42.49,-71.39,69.01
10.11,370.87,19.66,22.97,14.01,0.39,285.22,0.03,1.37,1,42.49,-71.39,69.01
10.11,370.87,19.8,25.84,12.11,0.41,307.42,0.04,1.31,1,42.49,-71.39,69.01
29.06,393.97,19.36,25.04,13.74,0.4,261,0.03,1.36,1,42.58,-72.59,263.63
29.06,393.97,19.51,26.71,13.39,0.41,65,0.12,1.39,1,42.58,-72.59,263.63
29.06,393.97,19.51,26.71,13.39,0.39,316.2,0.01,1.45,1,42.58,-72.59,263.63
26.35,422.33,19.32,27.2,14.69,0.39,291.79,0.04,1.38,1,41.81,-72.73,98.78
26.35,422.33,19.32,27.2,14.69,0.38,202.49,0.09,1.42,1,41.81,-72.73,98.78
26.35,422.33,19.32,27.2,14.69,0.39,292.45,0.03,1.37,1,41.81,-72.73,98.78
